playlist_id	owner_id	x_owner_group	streams	stream30s	dau	wau	mau	mau_previous_month	mau_both_months	users	skippers	owner_country	n_tracks	n_local_tracks	n_artists	n_albums	monthly_stream30s	monthly_owner_stream30s	genre_1	genre_2	genre_3	mood_1	mood_2	mood_3	tokens	x_estimated_revenue_usd	x_ratio_streams_above_30s_threshold	x_retention_rate_m	x_ratio_skippers_d	x_projected_engaging_time_in_min	x_projected_engaging_time_in_hour	x_projected_engaging_time_in_day	x_mininum_engaing_time_per_user	x_playlist_type_by_artist	x_playlist_type_by_album	x_playlist_type_by_artist_by_album
18BqSC2cMSLIQrFwvYT5gv	spotify	spotify	79579	43771	4743	24933	91602	75796	14522	203065	3407	US	135	0	126	117	1395992	9	rap	r&b	pop	defiant	sensual	cool	late, night	306.397	0.5500	0.1916	0.0168	472.50	7.88	0.33	0.11	various_artist	various_album	various_artist_various_album
5mRQ1OKwXfOuTCXftFu62R	spotify	spotify	53341	42804	3733	24283	84610	44326	9217	151113	2163	US	1000	0	244	249	1616843	5	indie rock	alternative	country & folk	gritty	melancholy	yearning	indie, folk	299.628	0.8025	0.2079	0.0143	3500.00	58.33	2.43	0.14	various_artist	various_album	various_artist_various_album
1bNVBDbxwB5sPEW3GJaoSu	2ed777bdb3b70101b69430fedc051d90	non-spotify	53663	42126	3206	21639	47678	24185	5557	82225	1271	US	242	0	148	181	1228493	218	soundtrack	classical	electronica	romantic	tender	somber	superior, study, playlist	294.882	0.7850	0.2298	0.0155	847.00	14.12	0.59	0.26	various_artist	various_album	various_artist_various_album
5mYuqPUConqYzvTA0IGibc	spotify	spotify	47412	39480	3597	10977	42143	40675	5569	109370	2396	US	89	0	89	89	804364	0	pop	indie rock	rock	sentimental	gritty	melancholy	hangover, friendly	276.360	0.8327	0.1369	0.0219	311.50	5.19	0.22	0.18	various_artist	various_album	various_artist_various_album
75dwLdmL07hDEDWqX17QeE	spotify	spotify	54032	38876	3999	33703	117878	114051	23922	281650	2799	US	101	0	89	100	1941562	15	indie rock	alternative	rock	brooding	yearning	excited	indie, mix	272.132	0.7195	0.2097	0.0099	353.50	5.89	0.25	0.07	various_artist	various_album	various_artist_various_album
2RjfuQGtNCw0YcsxDwxu3Z	spotify	spotify	60273	36737	3892	24080	71452	60751	8824	162938	2876	US	160	0	78	80	1146150	1	pop	alternative	indie rock	excited	defiant	energizing	forever, young	257.159	0.6095	0.1452	0.0177	560.00	9.33	0.39	0.11	various_artist	various_album	various_artist_various_album
4ldNPWkhPThHdq0FSxB0EZ	spotify	spotify	93578	36733	6980	46949	146925	75036	13181	329944	8162	US	52	0	48	50	1125764	0	pop	dance & house	alternative	yearning	sensual	excited	viral, global	257.131	0.3925	0.1757	0.0247	182.00	3.03	0.13	0.06	various_artist	various_album	various_artist_various_album
3UnBE284cPcMwL5oVVdhAp	spotify	spotify	60417	36150	5257	21875	67206	60371	7593	206484	5788	US	128	0	110	122	691102	3	dance & house	indie rock	electronica	excited	energizing	aggressive	hipster, house, party	253.050	0.5983	0.1258	0.0280	448.00	7.47	0.31	0.09	various_artist	various_album	various_artist_various_album
2gtr2Tf686zXqjQNiYNPQW	spotify	spotify	45122	34907	4177	35644	89800	30471	5695	159292	3125	US	216	0	52	53	1044129	1	indie rock	country & folk	alternative	brooding	sentimental	melancholy	autumn, leaves	244.349	0.7736	0.1869	0.0196	756.00	12.60	0.53	0.11	various_artist	various_album	various_artist_various_album
2dcOG6Snw5DbCvGVr1V03p	spotify	spotify	49528	34670	3137	24501	59756	38759	7938	115873	1722	US	208	0	96	103	955792	3	indie rock	alternative	pop	yearning	brooding	sensual	evening, commute	242.690	0.7000	0.2048	0.0149	728.00	12.13	0.51	0.15	various_artist	various_album	various_artist_various_album
